Wall time,time/total_timesteps,eval/mean_reward
1670918783.58158,1999,35.7344207763672
1670918788.05844,2499,6.00501394271851
1670918814.8674,5499,2.38922166824341
1670918832.89163,7499,1.67238438129425
1670918837.34694,7999,14.0253763198853
1670918851.10565,9499,3.79665637016296
1670918855.51258,9999,14.4407052993774
1670918874.88307,10499,0.886570155620575
1670918913.42523,11499,0.240880280733108
1670918932.8589,11999,5.19190073013306
1670918990.65892,13499,13.643928527832
1670919010.03641,13999,15.6017408370972
1670919220.5279,19499,1.70125639438629
1670919259.31023,20499,12.5782451629639
1670919394.84384,23999,11.6754274368286
1670919414.53588,24499,11.6169719696045
1670919433.70311,24999,19.4870567321777
1670919472.47569,25999,71.5051345825195
1670919531.42721,27499,26.4080467224121
1670919589.98235,28999,90.6197967529297
1670919648.82661,30499,122.874282836914
1670919668.47879,30999,99.9544677734375
1670919687.99018,31499,102.466064453125
1670919707.27708,31999,33.0073432922363
1670919746.40467,32999,98.6930618286133
1670919766.15385,33499,123.020568847656
1670919785.71834,33999,110.273170471191
1670919805.28812,34499,112.518478393555
1670919844.47262,35499,127.408309936523
1670919864.00305,35999,107.923187255859
1670919980.80462,38999,114.329399108887
1670920020.23781,39999,110.471565246582
1670920039.72976,40499,129.7138671875
1670920078.91963,41499,139.942123413086
1670920138.32633,42999,102.435111999512
1670920217.65018,44999,113.044982910156
1670920411.59433,49999,113.322525024414
1670920430.72108,50499,120.018508911133
1670920488.41357,51999,200.715270996094
1670920545.56219,53499,117.22974395752
1670920564.74218,53999,123.881568908691
1670920603.44127,54999,143.728530883789
1670920737.53774,58499,109.481033325195
1670920834.35806,60999,163.649215698242
1670920910.77323,62999,115.310516357422
1670920929.99632,63499,187.491271972656
1670920968.65712,64499,186.755813598633
1670921007.21274,65499,182.325897216797
1670921026.33722,65999,154.189712524414
1670921122.80006,68499,189.370590209961
1670921141.98211,68999,135.395202636719
1670921276.96864,72499,214.401489257812
1670921314.91252,73499,157.813064575195
1670921334.47117,73999,228.726486206055
1670921392.18858,75499,176.208053588867
1670921527.78826,78999,152.091384887695
1670921585.25224,80499,117.618072509766
1670921624.13428,81499,187.243377685547
1670921662.85563,82499,206.004852294922
1670921778.22638,85499,468.455322265625
1670921797.56227,85999,179.225021362305
1670921816.70664,86499,405.164794921875
1670921874.70005,87999,219.451019287109
1670921893.36655,88499,138.168823242188
1670921912.76372,88999,155.255325317383
1670921989.44039,90999,174.636825561523
1670922045.97392,92499,137.540008544922
1670922065.21611,92999,170.746017456055
1670922084.28052,93499,224.893966674805
