eval/mean_reward,time/total_timesteps,train/actor_loss,eval/mean_ep_length,train/ent_coef,train/ent_coef_loss,train/n_updates,train/critic_loss,train/learning_rate,time/episodes,rollout/ep_len_mean,time/fps,time/time_elapsed,rollout/ep_rew_mean
0.0,500,-13.392953872680664,500.0,0.8874061107635498,-1.406449794769287,399,0.09149058908224106,0.0003,,,,,
0.0,1000,-19.630813598632812,500.0,0.7637969255447388,-3.1680803298950195,899,0.6543076038360596,0.0003,,,,,
0.0,1500,-25.419891357421875,500.0,0.6575072407722473,-4.920387268066406,1399,0.10926039516925812,0.0003,,,,,
0.0,2000,-30.42840576171875,500.0,0.5662128329277039,-6.658029556274414,1899,0.7386482954025269,0.0003,,,,,
,2000,,,,,,,,4,500.0,5,364,0.0
0.0,2500,-34.981327056884766,500.0,0.4878537058830261,-8.327945709228516,2399,0.21881121397018433,0.0003,,,,,
0.0,3000,-38.15185546875,500.0,0.4206460416316986,-9.922475814819336,2899,0.30315226316452026,0.0003,,,,,
0.0,3500,-41.71128463745117,500.0,0.3628653883934021,-11.57762336730957,3399,2.7839367389678955,0.0003,,,,,
0.0,4000,-43.46076202392578,500.0,0.3132662773132324,-12.994112968444824,3899,0.4679497480392456,0.0003,,,,,
,4000,,,,,,,,8,500.0,5,726,0.0
0.0,4500,-44.61327362060547,500.0,0.2705962359905243,-14.65119743347168,4399,4.692371368408203,0.0003,,,,,
0.0,5000,-46.00833511352539,500.0,0.23387932777404785,-15.817225456237793,4899,0.4285942614078522,0.0003,,,,,
0.0,5500,-46.714202880859375,500.0,0.20231211185455322,-16.854904174804688,5399,0.8997230529785156,0.0003,,,,,
0.0,6000,-47.09844207763672,500.0,0.1752159297466278,-17.39353370666504,5899,0.45147061347961426,0.0003,,,,,
,6000,,,,,,,,12,500.0,5,1088,0.0
0.0,6500,-47.225215911865234,500.0,0.15203703939914703,-18.151477813720703,6399,0.43293148279190063,0.0003,,,,,
0.0,7000,-48.16670227050781,500.0,0.13218408823013306,-19.194244384765625,6899,0.6267437934875488,0.0003,,,,,
0.0,7500,-47.784461975097656,500.0,0.11515472829341888,-19.152652740478516,7399,0.6049422025680542,0.0003,,,,,
