train/ent_coef_loss,eval/mean_reward,eval/mean_ep_length,train/actor_loss,train/n_updates,train/learning_rate,train/critic_loss,time/total_timesteps,train/ent_coef,time/fps,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,time/episodes
-18.931997299194336,1.6975874000000002,500.0,-47.81927490234375,7899,0.0003,0.5603153705596924,8000,0.10129773616790771,,,,,
,,,,,,,8000,,11,695,500.0,6.3510415625,16
-18.46963882446289,3.3780884,500.0,-47.61829376220703,8399,0.0003,0.4921150207519531,8500,0.08885621279478073,,,,,
-16.330528259277344,4.3318732,500.0,-47.50498962402344,8899,0.0003,1.6939995288848877,9000,0.07839437574148178,,,,,
-15.954023361206055,6.5314046,500.0,-47.96306228637695,9399,0.0003,0.714320182800293,9500,0.06937500834465027,,,,,
-10.249346733093262,5.050618399999999,500.0,-47.17994689941406,9899,0.0003,6.36474609375,10000,0.06222187727689743,,,,,
,,,,,,,10000,,11,871,500.0,5.7616324,20
-11.891409873962402,0.6294014000000001,500.0,-48.56990051269531,10399,0.0003,0.6774258613586426,10500,0.056131865829229355,,,,,
-11.408126831054688,1.236507,500.0,-48.73309326171875,10899,0.0003,0.6323411464691162,11000,0.050837621092796326,,,,,
-8.027740478515625,5.5807648,500.0,-49.80561828613281,11399,0.0003,0.7868824005126953,11500,0.04629975184798241,,,,,
-3.056173324584961,5.395507,500.0,-49.969017028808594,11899,0.0003,0.7623277902603149,12000,0.04276765137910843,,,,,
,,,,,,,12000,,11,1045,500.0,5.255548,24
-3.005096912384033,0.803542,500.0,-52.05794143676758,12399,0.0003,0.7112305164337158,12500,0.04000081121921539,,,,,
3.2224416732788086,2.0727588,500.0,-51.313194274902344,12899,0.0003,0.7134458422660828,13000,0.038229066878557205,,,,,
0.9950160980224609,0.5773583999999999,500.0,-51.54722213745117,13399,0.0003,3.7481043338775635,13500,0.037057481706142426,,,,,
-0.7111926078796387,2.3225316,500.0,-51.590301513671875,13899,0.0003,12.02578353881836,14000,0.036783043295145035,,,,,
,,,,,,,14000,,11,1219,500.0,4.998700785714287,28
0.04899917542934418,0.8780669999999999,500.0,-51.862571716308594,14399,0.0003,0.9891418218612671,14500,0.0367346815764904,,,,,
2.5046494007110596,1.8670116,500.0,-51.77968215942383,14899,0.0003,1.1001696586608887,15000,0.03709337115287781,,,,,
0.1499398648738861,4.399238400000001,500.0,-53.05589294433594,15399,0.0003,8.334014892578125,15500,0.036999691277742386,,,,,
1.5523123741149902,3.051,500.0,-51.92220687866211,15899,0.0003,0.8081870079040527,16000,0.03801459074020386,,,,,
,,,,,,,16000,,11,1395,500.0,4.54442371875,32
1.1909900903701782,2.023145,500.0,-53.51482391357422,16399,0.0003,1.2989349365234375,16500,0.03880470246076584,,,,,
1.0203132629394531,1.5757674,500.0,-53.72218704223633,16899,0.0003,6.849776268005371,17000,0.03970944136381149,,,,,
-0.1199319064617157,1.7777521999999997,500.0,-53.109222412109375,17399,0.0003,3.3800363540649414,17500,0.040088243782520294,,,,,
0.4335103929042816,0.4090336,500.0,-54.55430221557617,17899,0.0003,9.552873611450195,18000,0.04063287749886513,,,,,
,,,,,,,18000,,11,1564,500.0,4.317509305555556,36
-2.834200620651245,0.8944588,500.0,-52.95589065551758,18399,0.0003,1.2598185539245605,18500,0.040001802146434784,,,,,
-1.1108264923095703,1.6547636000000001,500.0,-54.9693603515625,18899,0.0003,0.9500457048416138,19000,0.03920121490955353,,,,,
-2.7447144985198975,0.3809824,500.0,-55.72795867919922,19399,0.0003,1.1643518209457397,19500,0.038451749831438065,,,,,
0.5859417915344238,3.5193974000000003,500.0,-54.87043380737305,19899,0.0003,10.962413787841797,20000,0.03784961625933647,,,,,
,,,,,,,20000,,11,1736,500.0,3.9265553499999997,40
-0.38962429761886597,2.5498234,500.0,-56.830448150634766,20399,0.0003,1.1800141334533691,20500,0.0368746817111969,,,,,
-1.386350154876709,0.7596786,500.0,-55.58648681640625,20899,0.0003,0.9904651045799255,21000,0.03673234209418297,,,,,
0.15824180841445923,1.195582,500.0,-54.88378143310547,21399,0.0003,1.042689561843872,21500,0.03615269064903259,,,,,
-0.2058909684419632,2.0096958000000003,500.0,-56.09800338745117,21899,0.0003,1.210118293762207,22000,0.03552960604429245,,,,,
,,,,,,,22000,,11,1908,500.0,3.7498108409090904,44
0.1395334005355835,1.1008386,500.0,-55.33732604980469,22399,0.0003,1.279122233390808,22500,0.03442348539829254,,,,,
-0.16834932565689087,3.2981256,500.0,-55.14726638793945,22899,0.0003,1.4276881217956543,23000,0.03428994491696358,,,,,
