time/total_timesteps,eval/mean_ep_length,train/n_updates,train/ent_coef_loss,train/learning_rate,train/actor_loss,eval/mean_reward,train/ent_coef,train/critic_loss,rollout/ep_rew_mean,time/episodes,time/fps,time/time_elapsed,rollout/ep_len_mean
7000,500.0,6899,-18.398998260498047,0.0003,-47.11271667480469,3.9810866000000003,0.13336718082427979,0.6789724826812744,,,,,
7500,500.0,7399,-18.96347427368164,0.0003,-46.418495178222656,1.4827147999999997,0.11630961298942566,0.6447885036468506,,,,,
8000,500.0,7899,-18.383947372436523,0.0003,-46.276817321777344,0.5840745999999999,0.10150814801454544,0.5656762719154358,,,,,
8000,,,,,,,,,2.48041,16,11,706,500.0
8500,500.0,8399,-19.314634323120117,0.0003,-46.5631217956543,0.8726578,0.08872997015714645,0.6768314838409424,,,,,
9000,500.0,8899,-17.26512908935547,0.0003,-46.444026947021484,0.8234366000000002,0.07786060124635696,1.5916123390197754,,,,,
9500,500.0,9399,-17.33618927001953,0.0003,-45.8997802734375,0.9654619999999999,0.06844834238290787,0.44019049406051636,,,,,
10000,500.0,9899,-16.613733291625977,0.0003,-46.3711051940918,0.5964400000000001,0.060373056679964066,4.302183628082275,,,,,
10000,,,,,,,,,2.2655807,20,11,882,500.0
10500,500.0,10399,-15.8406343460083,0.0003,-46.51816940307617,0.7316466,0.05339902266860008,0.46484053134918213,,,,,
11000,500.0,10899,-15.364873886108398,0.0003,-46.89915466308594,0.9960596,0.04719698056578636,0.451801061630249,,,,,
11500,500.0,11399,-12.312411308288574,0.0003,-46.66716384887695,0.42085340000000004,0.04189880192279816,0.5967453718185425,,,,,
12000,500.0,11899,-9.406850814819336,0.0003,-45.66869354248047,0.9210298,0.037607207894325256,0.5304450988769531,,,,,
12000,,,,,,,,,2.1310784583333335,24,11,1058,500.0
12500,500.0,12399,-8.435470581054688,0.0003,-46.39627456665039,0.3109386,0.03411175683140755,0.6774086952209473,,,,,
13000,500.0,12899,-6.991147994995117,0.0003,-45.98098373413086,5.0432688,0.03146231546998024,0.5525229573249817,,,,,
13500,500.0,13399,-0.4900517463684082,0.0003,-45.854705810546875,2.0654206000000004,0.029546823352575302,3.613621234893799,,,,,
14000,500.0,13899,-1.4656568765640259,0.0003,-46.646175384521484,0.5751044000000001,0.028255974873900414,5.739712715148926,,,,,
