train/critic_loss,train/learning_rate,transfer/num_new_policy,transfer/reuse_phi,transfer/num_random,train/actor_loss,train/ent_coef_loss,eval/mean_reward,transfer/num_old_policy,eval/mean_ep_length,transfer/epsilon,train/n_updates,time/total_timesteps,train/ent_coef,time/episodes,time/time_elapsed,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean
0.07506616413593292,0.0003,465,9.401228705558595e-12,13,-14.859630584716797,-1.7596548795700073,24.81896,18,500.0,0.9999999999905987,499,500,0.8611931204795837,,,,,
0.5867131948471069,0.0003,470,9.401228705558595e-12,9,-21.04405975341797,-3.532823085784912,6.9612778,17,500.0,0.9999999999905987,999,1000,0.741226315498352,,,,,
0.13873936235904694,0.0003,459,9.401228705558595e-12,12,-26.966325759887695,-5.276551246643066,5.890686199999999,25,500.0,0.9999999999905987,1499,1500,0.6381536722183228,,,,,
0.39138534665107727,0.0003,465,9.401228705558595e-12,10,-32.23539733886719,-6.95857572555542,8.143016,21,500.0,0.9999999999905987,1999,2000,0.5495375394821167,,,,,
,,,,,,,,,,,,2000,,4,252,7,25.9416465,500.0
0.1535516232252121,0.0003,468,9.401228705558595e-12,9,-36.70876693725586,-8.696460723876953,3.498214,19,500.0,0.9999999999905987,2499,2500,0.47331273555755615,,,,,
4.122861862182617,0.0003,467,9.401228705558595e-12,6,-38.41407012939453,-10.264127731323242,3.69451,23,500.0,0.9999999999905987,2999,3000,0.40825551748275757,,,,,
0.29854893684387207,0.0003,472,9.401228705558595e-12,10,-41.41340255737305,-11.782602310180664,35.3816848,14,500.0,0.9999999999905987,3499,3500,0.35261043906211853,,,,,
0.39936476945877075,0.0003,472,9.401228705558595e-12,7,-43.704952239990234,-13.066213607788086,4.0581448,17,500.0,0.9999999999905987,3999,4000,0.30462396144866943,,,,,
,,,,,,,,,,,,4000,,8,510,7,25.52921325,500.0
0.3515123724937439,0.0003,464,9.401228705558595e-12,10,-46.01985168457031,-14.176647186279297,3.7891432000000003,22,500.0,0.9999999999905987,4499,4500,0.26354652643203735,,,,,
3.574918746948242,0.0003,472,9.401228705558595e-12,8,-47.63551330566406,-15.212345123291016,3.5266966,16,500.0,0.9999999999905987,4999,5000,0.22864758968353271,,,,,
5.824358940124512,0.0003,464,9.401228705558595e-12,9,-49.34996795654297,-15.38945198059082,3.9516182,23,500.0,0.9999999999905987,5499,5500,0.19897808134555817,,,,,
0.5902295112609863,0.0003,467,9.401228705558595e-12,11,-49.764713287353516,-16.076147079467773,3.1401718,18,500.0,0.9999999999905987,5999,6000,0.1735464334487915,,,,,
,,,,,,,,,,,,6000,,12,760,7,21.092812666666667,500.0
5.007147312164307,0.0003,464,9.401228705558595e-12,14,-51.13214874267578,-16.79867172241211,2.8096622,18,500.0,0.9999999999905987,6499,6500,0.15150347352027893,,,,,
0.7541912198066711,0.0003,467,9.401228705558595e-12,10,-51.28536605834961,-15.360469818115234,5.003459400000001,19,500.0,0.9999999999905987,6999,7000,0.13252560794353485,,,,,
0.9826517701148987,0.0003,462,9.401228705558595e-12,8,-52.1797981262207,-15.801316261291504,4.0717724,26,500.0,0.9999999999905987,7499,7500,0.11628759652376175,,,,,
0.803098201751709,0.0003,467,9.401228705558595e-12,14,-52.611595153808594,-15.572711944580078,3.2793028,15,500.0,0.9999999999905987,7999,8000,0.10218217968940735,,,,,
,,,,,,,,,,,,8000,,16,1009,7,18.398678625000002,500.0
0.77097487449646,0.0003,467,9.401228705558595e-12,11,-52.56403350830078,-15.368974685668945,5.481558199999999,18,500.0,0.9999999999905987,8499,8500,0.08993635326623917,,,,,
8.656814575195312,0.0003,461,9.401228705558595e-12,10,-52.764892578125,-14.56093978881836,3.1181362000000004,25,500.0,0.9999999999905987,8999,9000,0.07949583977460861,,,,,
1.1716597080230713,0.0003,460,9.401228705558595e-12,10,-53.2685432434082,-14.45956039428711,2.6385188,26,500.0,0.9999999999905987,9499,9500,0.07048165053129196,,,,,
7.972969055175781,0.0003,467,9.401228705558595e-12,9,-53.425941467285156,-15.378551483154297,2.6023126,20,500.0,0.9999999999905987,9999,10000,0.06270201504230499,,,,,
,,,,,,,,,,,,10000,,20,1262,7,17.774616950000002,500.0
1.0281445980072021,0.0003,470,9.401228705558595e-12,10,-54.96689987182617,-10.439534187316895,4.6402884,16,500.0,0.9999999999905987,10499,10500,0.05608319863677025,,,,,
1.0070221424102783,0.0003,466,9.401228705558595e-12,5,-54.839637756347656,-10.456204414367676,3.5885224,25,500.0,0.9999999999905987,10999,11000,0.05039089173078537,,,,,
0.6098697781562805,0.0003,467,9.401228705558595e-12,9,-54.78318786621094,-7.8140692710876465,3.9523814,20,500.0,0.9999999999905987,11499,11500,0.04547973722219467,,,,,
14.07461166381836,0.0003,471,9.401228705558595e-12,9,-54.42493438720703,-7.803182601928711,2.416261,16,500.0,0.9999999999905987,11999,12000,0.041743069887161255,,,,,
,,,,,,,,,,,,12000,,24,1513,7,17.076993833333333,500.0
0.8669700622558594,0.0003,471,9.401228705558595e-12,10,-54.58252716064453,-6.31337833404541,1.4348465999999997,15,500.0,0.9999999999905987,12499,12500,0.03917548432946205,,,,,
0.9070261120796204,0.0003,468,9.401228705558595e-12,13,-55.73495101928711,-0.7369530200958252,2.1199908,15,500.0,0.9999999999905987,12999,13000,0.03690965846180916,,,,,
0.9614150524139404,0.0003,463,9.401228705558595e-12,11,-55.06895065307617,-2.237766742706299,2.1836772,22,500.0,0.9999999999905987,13499,13500,0.03539299592375755,,,,,
