Wall time,time/total_timesteps,eval/mean_reward
1670999264.06532,1999,2.62501049041748
1670999268.89523,2499,3.03099751472473
1670999297.25602,5499,2.47777271270752
1670999316.63965,7499,5.94675970077515
1670999321.5489,7999,2.75035977363586
1670999336.28069,9499,15.5866165161133
1670999341.18528,9999,6.76483774185181
1670999360.90009,10499,6.77550268173218
1670999400.62187,11499,2.37763714790344
1670999419.85845,11999,2.48809862136841
1670999478.16113,13499,7.75238752365112
1670999497.52871,13999,14.4260625839233
1670999716.31799,19499,5.85435342788696
1670999757.32826,20499,13.622239112854
1670999903.85628,23999,3.06805539131165
1670999924.44234,24499,9.38443183898926
1670999944.87468,24999,2.17573809623718
1670999987.82935,25999,15.8200283050537
1671000050.14693,27499,7.92276477813721
1671000111.2315,28999,12.7949800491333
1671000171.49352,30499,36.514102935791
1671000191.43022,30999,34.9097061157227
1671000212.30419,31499,22.4574928283691
1671000232.46286,31999,19.8349628448486
1671000272.36207,32999,33.2341232299805
1671000292.58354,33499,58.0518074035645
1671000312.62953,33999,16.8364906311035
1671000332.90359,34499,18.4515857696533
1671000373.41411,35499,50.9788589477539
1671000393.61488,35999,42.5979614257813
1671000516.13924,38999,56.0440101623535
1671000556.59705,39999,65.1539077758789
1671000576.53597,40499,56.9943084716797
1671000616.3447,41499,78.4312362670898
1671000675.91702,42999,54.5080337524414
1671000754.56376,44999,55.1946144104004
1671000953.36372,49999,78.2465133666992
1671000973.4208,50499,76.9586181640625
1671001032.70993,51999,77.8675765991211
1671001094.58599,53499,50.6892967224121
1671001114.8521,53999,94.0134658813477
1671001155.4411,54999,107.089385986328
1671001299.07443,58499,70.2345352172852
1671001403.55605,60999,81.4905014038086
1671001490.42718,62999,106.108154296875
1671001511.71234,63499,84.2585678100586
1671001554.77233,64499,90.616828918457
1671001597.0801,65499,90.9029312133789
1671001618.06147,65999,65.1372451782227
1671001720.16539,68499,113.523147583008
1671001740.24937,68999,86.8611450195312
1671001882.20102,72499,101.188858032227
1671001923.65183,73499,76.1921081542969
1671001944.31327,73999,182.943603515625
