train/critic_loss,transfer/epsilon,eval/mean_reward,train/ent_coef,train/ent_coef_loss,transfer/num_old_policy,train/n_updates,transfer/num_random,transfer/reuse_phi,eval/mean_ep_length,transfer/num_new_policy,train/learning_rate,time/total_timesteps,train/actor_loss,time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,time/episodes,time/fps
0.11865928024053574,0.9999999999905987,10.9772156,0.8611700534820557,-1.761703610420227,20,499,14,9.401228705558595e-12,500.0,462,0.0003,500,-15.109216690063477,,,,,
0.07352592796087265,0.9999999999905987,5.5161502,0.7412276864051819,-3.539512872695923,16,999,8,9.401228705558595e-12,500.0,472,0.0003,1000,-21.453121185302734,,,,,
0.1879451870918274,0.9999999999905987,2.1963174000000003,0.6381158232688904,-5.284551620483398,20,1499,11,9.401228705558595e-12,500.0,465,0.0003,1500,-27.429893493652344,,,,,
3.538933753967285,0.9999999999905987,2.546094,0.549530029296875,-6.985248565673828,18,1999,11,9.401228705558595e-12,500.0,467,0.0003,2000,-32.08232116699219,,,,,
,,,,,,,,,,,,2000,,332,21.34998975,500.0,4,6
0.1965007781982422,0.9999999999905987,2.1706036,0.4735003113746643,-8.6436128616333,22,2499,11,9.401228705558595e-12,500.0,463,0.0003,2500,-35.918601989746094,,,,,
0.31105151772499084,0.9999999999905987,2.0216106,0.4082348048686981,-10.343783378601074,24,2999,9,9.401228705558595e-12,500.0,463,0.0003,3000,-39.693172454833984,,,,,
4.279052734375,0.9999999999905987,2.6066998,0.3521570861339569,-11.662125587463379,20,3499,5,9.401228705558595e-12,500.0,471,0.0003,3500,-41.81337356567383,,,,,
0.4412996172904968,0.9999999999905987,2.5018488000000003,0.3040803074836731,-13.186527252197266,22,3999,13,9.401228705558595e-12,500.0,461,0.0003,4000,-43.846229553222656,,,,,
,,,,,,,,,,,,4000,,664,25.486055999999998,500.0,8,6
0.5238733291625977,0.9999999999905987,1.8918309999999998,0.2627888023853302,-14.721885681152344,18,4499,10,9.401228705558595e-12,500.0,468,0.0003,4500,-45.94120788574219,,,,,
12.34048080444336,0.9999999999905987,6.075658,0.22721892595291138,-15.797468185424805,24,4999,8,9.401228705558595e-12,500.0,464,0.0003,5000,-47.31227111816406,,,,,
3.6436710357666016,0.9999999999905987,1.8410495999999998,0.19672715663909912,-17.050411224365234,15,5499,17,9.401228705558595e-12,500.0,464,0.0003,5500,-49.26300811767578,,,,,
2.2813045978546143,0.9999999999905987,1.8938468,0.1705837994813919,-17.74329376220703,23,5999,6,9.401228705558595e-12,500.0,467,0.0003,6000,-49.05618667602539,,,,,
,,,,,,,,,,,,6000,,996,22.201997666666667,500.0,12,6
0.6200879216194153,0.9999999999905987,2.2486458000000002,0.14829207956790924,-18.260009765625,17,6499,17,9.401228705558595e-12,500.0,462,0.0003,6500,-49.648658752441406,,,,,
0.5212728977203369,0.9999999999905987,2.364917,0.12947499752044678,-17.84269142150879,22,6999,8,9.401228705558595e-12,500.0,466,0.0003,7000,-50.08515548706055,,,,,
1.3949090242385864,0.9999999999905987,3.0984634000000004,0.11345557123422623,-17.518836975097656,17,7499,9,9.401228705558595e-12,500.0,470,0.0003,7500,-49.79918670654297,,,,,
8.680695533752441,0.9999999999905987,2.5881841999999997,0.09963523596525192,-16.955951690673828,21,7999,11,9.401228705558595e-12,500.0,464,0.0003,8000,-49.72847366333008,,,,,
,,,,,,,,,,,,8000,,1332,19.4485823125,500.0,16,6
6.114077568054199,0.9999999999905987,2.8925620000000003,0.08762407302856445,-15.840118408203125,21,8499,8,9.401228705558595e-12,500.0,467,0.0003,8500,-49.92325973510742,,,,,
0.7354145646095276,0.9999999999905987,2.0596772000000003,0.07718534767627716,-15.782678604125977,23,8999,8,9.401228705558595e-12,500.0,465,0.0003,9000,-49.06374740600586,,,,,
0.8764645457267761,0.9999999999905987,3.4693682000000003,0.06829342246055603,-15.598726272583008,18,9499,7,9.401228705558595e-12,500.0,471,0.0003,9500,-49.827850341796875,,,,,
0.9400553703308105,0.9999999999905987,2.8478938,0.06073090061545372,-14.282388687133789,20,9999,10,9.401228705558595e-12,500.0,466,0.0003,10000,-50.31048583984375,,,,,
,,,,,,,,,,,,10000,,1644,17.7622106,500.0,20,6
0.8413602113723755,0.9999999999905987,3.1670438,0.0543227456510067,-10.7190580368042,18,10499,7,9.401228705558595e-12,500.0,471,0.0003,10500,-50.25572967529297,,,,,
0.7034010291099548,0.9999999999905987,2.5765316,0.049004603177309036,-8.36522102355957,21,10999,8,9.401228705558595e-12,500.0,467,0.0003,11000,-51.37609100341797,,,,,
0.8660095930099487,0.9999999999905987,3.0880364,0.044443774968385696,-6.8269805908203125,21,11499,7,9.401228705558595e-12,500.0,468,0.0003,11500,-50.6649169921875,,,,,
0.94307941198349,0.9999999999905987,3.1595872,0.04096344858407974,-4.893993377685547,22,11999,10,9.401228705558595e-12,500.0,464,0.0003,12000,-50.726985931396484,,,,,
,,,,,,,,,,,,12000,,1954,16.184846875,500.0,24,6
4.262105941772461,0.9999999999905987,2.8436334000000003,0.038513753563165665,-4.59397029876709,14,12499,14,9.401228705558595e-12,500.0,468,0.0003,12500,-51.72796630859375,,,,,
4.496726989746094,0.9999999999905987,2.3666831999999998,0.03629842773079872,-4.893906116485596,25,12999,8,9.401228705558595e-12,500.0,463,0.0003,13000,-50.80710220336914,,,,,
0.9364039897918701,0.9999999999905987,2.3883028000000004,0.03489631786942482,-1.8329198360443115,23,13499,10,9.401228705558595e-12,500.0,463,0.0003,13500,-51.7099609375,,,,,
8.29391860961914,0.9999999999905987,1.8916077999999998,0.03436250612139702,2.5801007747650146,16,13999,11,9.401228705558595e-12,500.0,469,0.0003,14000,-50.831520080566406,,,,,
,,,,,,,,,,,,14000,,2264,15.06137825,500.0,28,6
0.840168297290802,0.9999999999905987,2.0947509999999996,0.03487173467874527,-1.084190845489502,25,14499,11,9.401228705558595e-12,500.0,460,0.0003,14500,-51.73543930053711,,,,,
7.57541561126709,0.9999999999905987,2.1844102,0.03525102883577347,-3.2262842655181885,18,14999,13,9.401228705558595e-12,500.0,465,0.0003,15000,-54.01027297973633,,,,,
3.9015893936157227,0.9999999999905987,3.9132676,0.03395603224635124,0.052531540393829346,14,15499,10,9.401228705558595e-12,500.0,472,0.0003,15500,-53.14688491821289,,,,,
1448.1259765625,0.9999999999905987,3.0613989999999998,0.03293094038963318,-1.0164729356765747,22,15999,10,9.401228705558595e-12,500.0,464,0.0003,16000,-54.631805419921875,,,,,
,,,,,,,,,,,,16000,,2575,13.76368490625,500.0,32,6
4.043720245361328,0.9999999999905987,1.7778953999999998,0.03199344500899315,-0.2255956530570984,19,16499,11,9.401228705558595e-12,500.0,466,0.0003,16500,-52.085384368896484,,,,,
2.243443250656128,0.9999999999905987,2.1789536,0.03185149282217026,-0.6578853130340576,22,16999,13,9.401228705558595e-12,500.0,461,0.0003,17000,-54.151039123535156,,,,,
4.722098350524902,0.9999999999905987,2.186371,0.03176753222942352,-2.355515480041504,23,17499,6,9.401228705558595e-12,500.0,467,0.0003,17500,-54.96061706542969,,,,,
28.887907028198242,0.9999999999905987,3.6669812,0.032605934888124466,0.645570695400238,19,17999,10,9.401228705558595e-12,500.0,467,0.0003,18000,-55.27622985839844,,,,,
