eval/mean_reward,train/learning_rate,train/ent_coef_loss,train/n_updates,train/actor_loss,time/total_timesteps,train/ent_coef,eval/mean_ep_length,train/critic_loss,rollout/ep_rew_mean,time/episodes,rollout/ep_len_mean,time/fps,time/time_elapsed
0.0,0.0003,-1.4047948122024536,399,-13.20709228515625,500,0.8874242305755615,500.0,0.10985871404409409,,,,,
0.0,0.0003,-3.1713027954101562,899,-19.071483612060547,1000,0.763818621635437,500.0,0.5528067946434021,,,,,
0.0,0.0003,-4.936192512512207,1399,-25.34334945678711,1500,0.6575112342834473,500.0,0.1253463178873062,,,,,
0.0,0.0003,-6.602866172790527,1899,-30.514307022094727,2000,0.566222071647644,500.0,0.7950221300125122,,,,,
,,,,,2000,,,,0.0,4,500.0,6,328
0.0,0.0003,-8.335222244262695,2399,-35.39086151123047,2500,0.4879104197025299,500.0,1.6314401626586914,,,,,
0.0,0.0003,-9.909839630126953,2899,-38.96263122558594,3000,0.4206651747226715,500.0,0.2896568775177002,,,,,
0.0,0.0003,-11.452155113220215,3399,-42.01020431518555,3500,0.3628278970718384,500.0,0.7623423337936401,,,,,
0.0,0.0003,-13.314582824707031,3899,-44.36296844482422,4000,0.3130073845386505,500.0,0.28703629970550537,,,,,
,,,,,4000,,,,0.0,8,500.0,6,650
0.0,0.0003,-14.640569686889648,4399,-45.256900787353516,4500,0.27031368017196655,500.0,0.4531038999557495,,,,,
0.0,0.0003,-15.4052734375,4899,-46.53120803833008,5000,0.23371471464633942,500.0,2.6353042125701904,,,,,
0.0,0.0003,-16.76683807373047,5399,-47.27055358886719,5500,0.20242781937122345,500.0,0.4083861708641052,,,,,
0.0,0.0003,-17.28011703491211,5899,-47.86497497558594,6000,0.17562520503997803,500.0,0.4678875505924225,,,,,
,,,,,6000,,,,0.0,12,500.0,6,974
0.0,0.0003,-17.599288940429688,6399,-48.93036651611328,6500,0.1526208221912384,500.0,0.46760624647140503,,,,,
0.0,0.0003,-18.098281860351562,6899,-48.72966766357422,7000,0.13292498886585236,500.0,1.032717227935791,,,,,
0.0,0.0003,-18.167009353637695,7399,-48.70973205566406,7500,0.11596212536096573,500.0,0.5246069431304932,,,,,
0.0,0.0003,-17.250843048095703,7899,-49.533241271972656,8000,0.10152385383844376,500.0,0.4941217303276062,,,,,
,,,,,8000,,,,0.0,16,500.0,6,1295
0.0,0.0003,-18.024993896484375,8399,-49.092857360839844,8500,0.08935066312551498,500.0,0.7035877108573914,,,,,
0.0,0.0003,-15.226552963256836,8899,-48.561309814453125,9000,0.07894612848758698,500.0,4.544319152832031,,,,,
0.0,0.0003,-14.259042739868164,9399,-49.51689910888672,9500,0.07002118229866028,500.0,0.5942726731300354,,,,,
0.0,0.0003,-13.809427261352539,9899,-49.1163215637207,10000,0.0624692365527153,500.0,4.571526050567627,,,,,
,,,,,10000,,,,0.0,20,500.0,6,1626
0.0,0.0003,-8.106905937194824,10399,-49.457271575927734,10500,0.05629025772213936,500.0,0.5461176633834839,,,,,
0.0,0.0003,-8.018890380859375,10899,-48.81702423095703,11000,0.05127885192632675,500.0,0.7093489170074463,,,,,
0.0,0.0003,-6.711875915527344,11399,-50.35715866088867,11500,0.04721876233816147,500.0,1.0651196241378784,,,,,
0.0,0.0003,-3.4483189582824707,11899,-50.98610305786133,12000,0.04425765201449394,500.0,0.8933342695236206,,,,,
,,,,,12000,,,,0.0,24,500.0,6,1950
0.0,0.0003,-2.575742244720459,12399,-53.0027961730957,12500,0.04224538430571556,500.0,0.8308194875717163,,,,,
0.0,0.0003,-1.3306076526641846,12899,-54.02391052246094,13000,0.04078977182507515,500.0,1.0865485668182373,,,,,
0.0,0.0003,1.2221895456314087,13399,-54.496822357177734,13500,0.04025189206004143,500.0,5.09303092956543,,,,,
0.0,0.0003,0.2903591990470886,13899,-53.81188201904297,14000,0.04043041169643402,500.0,7.1986918449401855,,,,,
,,,,,14000,,,,0.0,28,500.0,6,2269
0.0,0.0003,-0.19171082973480225,14399,-55.52231979370117,14500,0.04141472652554512,500.0,1.0178906917572021,,,,,
0.0,0.0003,0.3073948919773102,14899,-57.30284118652344,15000,0.04249972105026245,500.0,1.1842553615570068,,,,,
0.0,0.0003,-1.251670002937317,15399,-57.13977813720703,15500,0.0432470329105854,500.0,3.9884214401245117,,,,,
0.0,0.0003,1.1071054935455322,15899,-56.80531311035156,16000,0.04364963248372078,500.0,1.5158910751342773,,,,,
,,,,,16000,,,,0.0,32,500.0,6,2594
0.0,0.0003,-0.513802170753479,16399,-59.0820426940918,16500,0.04499224200844765,500.0,1.5480180978775024,,,,,
0.0,0.0003,-0.5084711909294128,16899,-58.15320587158203,17000,0.04475200176239014,500.0,1.6782135963439941,,,,,
0.2,0.0003,0.015892311930656433,17399,-58.13604736328125,17500,0.04348011314868927,500.0,8.608514785766602,,,,,
0.0,0.0003,1.00392484664917,17899,-59.913429260253906,18000,0.04399687051773071,500.0,1.7831045389175415,,,,,
,,,,,18000,,,,0.0,36,500.0,6,2923
0.0,0.0003,0.7623957395553589,18399,-59.023651123046875,18500,0.04405873268842697,500.0,1.5516712665557861,,,,,
0.0,0.0003,-2.125699281692505,18899,-60.49808883666992,19000,0.04412786290049553,500.0,1.5975563526153564,,,,,
0.0,0.0003,-0.32909291982650757,19399,-62.248233795166016,19500,0.0424371100962162,500.0,1.4484968185424805,,,,,
0.0,0.0003,3.106572151184082,19899,-63.151031494140625,20000,0.04241936653852463,500.0,3.944981336593628,,,,,
,,,,,20000,,,,0.0,40,500.0,6,3250
0.0,0.0003,0.038904547691345215,20399,-63.18672561645508,20500,0.04224894195795059,500.0,1.5725314617156982,,,,,
0.0,0.0003,-1.3239202499389648,20899,-64.41336059570312,21000,0.041812725365161896,500.0,1.754714012145996,,,,,
0.0,0.0003,-0.018796101212501526,21399,-64.45423889160156,21500,0.0419243648648262,500.0,1.7987090349197388,,,,,
0.0,0.0003,-0.277072012424469,21899,-64.19941711425781,22000,0.04143407195806503,500.0,1.4792753458023071,,,,,
,,,,,22000,,,,0.0,44,500.0,6,3577
0.0,0.0003,-0.7324517965316772,22399,-65.4898681640625,22500,0.04115241765975952,500.0,2.051626443862915,,,,,
0.0,0.0003,1.7015948295593262,22899,-65.8138427734375,23000,0.04140036180615425,500.0,2.3559730052948,,,,,
0.0,0.0003,1.5374667644500732,23399,-64.5910873413086,23500,0.04097224026918411,500.0,1.5117344856262207,,,,,
0.0,0.0003,-2.032301902770996,23899,-65.76506805419922,24000,0.04084736853837967,500.0,2.2489867210388184,,,,,
